Any;Partit;Vots
2019;ERC;874859
2019;PSC;794666
2019;JxCAT-JUNTS;530225
2019;ECP-GUANYEM EL CANVI;549173
2019;PP;287714
2019;CUP-PR;246971
2019;VOX;243640
2019;C's;217935
2019;ALTRES;104030
2016;ECP;853102
2016;ERC;632234
2016;PSC;559870
2016;CDC;483488
2016;PP;464538
2016;C's;380497
2016;ALTRES;74897
2015;En comú;929880
2015;ERC;601782
2015;PSC;590274
2015;DL;567253
2015;C's;490872
2015;PP;418369
2015;ALTRES;138989
2011;PSC;920620
2011;CiU;1014277
2011;PP;715318
2011;IC;279591
2011;ERC;244300
2011;ALTRES;216966
2008;PSC;1674156
2008;CiU;774425
2008;PP;605448
2008;IC;182297
2008;ERC;289641
2008;ALTRES;108664
2004;PSC;1577330
2004;CiU;829046
2004;PP;620348
2004;IC;233670
2004;ERC;636810
2004;ALTRES;60468
2000;PSC;1142985
2000;CiU;965623
2000;PP;763945
2000;IC;118686
2000;ERC;189366
2000;ALTRES;123425
